2026-05-18 20:16:46,388 | CAMERA_MANAGER | INFO | Sending frame from c2
2026-05-18 20:16:46,388 | CAMERA_MANAGER | INFO | Sending frame from c4
2026-05-18 20:16:46,484 | CAMERA_MANAGER | INFO | Sending frame from c3
2026-05-18 20:16:46,500 | CAMERA_MANAGER | INFO | Sending frame from c1
2026-05-18 20:16:46,520 | CAMERA_MANAGER | INFO | Sending frame from c2
2026-05-18 20:16:46,523 | CAMERA_MANAGER | INFO | Sending frame from c4
2026-05-18 20:16:46,604 | CAMERA_MANAGER | INFO | Sending frame from c1
2026-05-18 20:16:46,604 | CAMERA_MANAGER | INFO | Sending frame from c3
2026-05-18 20:16:46,654 | CAMERA_MANAGER | INFO | Sending frame from c4
2026-05-18 20:16:46,656 | CAMERA_MANAGER | INFO | Sending frame from c2
2026-05-18 20:16:46,752 | CAMERA_MANAGER | INFO | Sending frame from c1
2026-05-18 20:16:46,754 | CAMERA_MANAGER | INFO | Sending frame from c3
2026-05-18 20:16:46,788 | CAMERA_MANAGER | INFO | Sending frame from c2
2026-05-18 20:16:46,790 | CAMERA_MANAGER | INFO | Sending frame from c4
2026-05-18 20:16:46,881 | CAMERA_MANAGER | INFO | Sending frame from c1
2026-05-18 20:16:46,903 | CAMERA_MANAGER | INFO | Sending frame from c3
2026-05-18 20:16:46,925 | CAMERA_MANAGER | INFO | Sending frame from c2
2026-05-18 20:16:46,929 | CAMERA_MANAGER | INFO | Sending frame from c4
2026-05-18 20:16:47,003 | CAMERA_MANAGER | INFO | Sending frame from c1
2026-05-18 20:16:47,019 | CAMERA_MANAGER | INFO | Sending frame from c3
2026-05-18 20:16:47,052 | CAMERA_MANAGER | INFO | Sending frame from c2
2026-05-18 20:16:47,065 | CAMERA_MANAGER | INFO | Sending frame from c4
2026-05-18 20:16:47,144 | CAMERA_MANAGER | INFO | Sending frame from c1
2026-05-18 20:16:47,164 | CAMERA_MANAGER | INFO | Sending frame from c3
2026-05-18 20:16:47,178 | CAMERA_MANAGER | INFO | Sending frame from c2
2026-05-18 20:16:47,210 | CAMERA_MANAGER | INFO | Sending frame from c4
2026-05-18 20:16:47,272 | CAMERA_MANAGER | INFO | Sending frame from c1
2026-05-18 20:16:47,291 | CAMERA_MANAGER | INFO | Sending frame from c3
2026-05-18 20:16:47,312 | CAMERA_MANAGER | INFO | Sending frame from c2
2026-05-18 20:16:47,349 | CAMERA_MANAGER | INFO | Sending frame from c4
2026-05-18 20:16:47,415 | CAMERA_MANAGER | INFO | Sending frame from c1
2026-05-18 20:16:47,426 | CAMERA_MANAGER | INFO | Sending frame from c3
2026-05-18 20:16:47,447 | CAMERA_MANAGER | INFO | Sending frame from c2
2026-05-18 20:16:47,478 | CAMERA_MANAGER | INFO | Sending frame from c4
2026-05-18 20:16:47,536 | CAMERA_MANAGER | INFO | Sending frame from c1
2026-05-18 20:16:47,553 | CAMERA_MANAGER | INFO | Sending frame from c3
2026-05-18 20:16:47,568 | CAMERA_MANAGER | INFO | Sending frame from c2
2026-05-18 20:16:47,595 | CAMERA_MANAGER | INFO | Sending frame from c4
2026-05-18 20:16:47,683 | CAMERA_MANAGER | INFO | Sending frame from c1
2026-05-18 20:16:47,685 | CAMERA_MANAGER | INFO | Sending frame from c3
2026-05-18 20:16:47,698 | CAMERA_MANAGER | INFO | Sending frame from c2
2026-05-18 20:16:47,743 | CAMERA_MANAGER | INFO | Sending frame from c4
2026-05-18 20:16:47,807 | CAMERA_MANAGER | INFO | Sending frame from c1
2026-05-18 20:16:47,828 | CAMERA_MANAGER | INFO | Sending frame from c2
2026-05-18 20:16:47,828 | CAMERA_MANAGER | INFO | Sending frame from c3
2026-05-18 20:16:47,882 | CAMERA_MANAGER | INFO | Sending frame from c4
2026-05-18 20:16:47,941 | CAMERA_MANAGER | INFO | Sending frame from c1
2026-05-18 20:16:47,963 | CAMERA_MANAGER | INFO | Sending frame from c3
2026-05-18 20:16:47,965 | CAMERA_MANAGER | INFO | Sending frame from c2
2026-05-18 20:16:48,020 | CAMERA_MANAGER | INFO | Sending frame from c4
2026-05-18 20:16:48,089 | CAMERA_MANAGER | INFO | Sending frame from c3
2026-05-18 20:16:48,094 | CAMERA_MANAGER | INFO | Sending frame from c1
2026-05-18 20:16:48,102 | CAMERA_MANAGER | INFO | Sending frame from c2
2026-05-18 20:16:48,158 | CAMERA_MANAGER | INFO | Sending frame from c4
2026-05-18 20:16:48,212 | CAMERA_MANAGER | INFO | Sending frame from c1
2026-05-18 20:16:48,218 | CAMERA_MANAGER | INFO | Sending frame from c3
2026-05-18 20:16:48,246 | CAMERA_MANAGER | INFO | Sending frame from c2
2026-05-18 20:16:48,248 | CAMERA_MANAGER | INFO | c2 sent 40 frames
2026-05-18 20:16:48,313 | CAMERA_MANAGER | INFO | Sending frame from c4
2026-05-18 20:16:48,351 | CAMERA_MANAGER | INFO | Sending frame from c1
2026-05-18 20:16:48,353 | CAMERA_MANAGER | INFO | Sending frame from c3
2026-05-18 20:16:48,353 | CAMERA_MANAGER | INFO | c1 sent 40 frames
2026-05-18 20:16:48,353 | CAMERA_MANAGER | INFO | c3 sent 40 frames
2026-05-18 20:16:48,390 | CAMERA_MANAGER | INFO | Sending frame from c2
2026-05-18 20:16:48,444 | CAMERA_MANAGER | INFO | Sending frame from c4
2026-05-18 20:16:48,444 | CAMERA_MANAGER | INFO | c4 sent 40 frames
2026-05-18 20:16:48,486 | CAMERA_MANAGER | INFO | Sending frame from c3
2026-05-18 20:16:48,486 | CAMERA_MANAGER | INFO | Sending frame from c1
2026-05-18 20:16:48,526 | CAMERA_MANAGER | INFO | Sending frame from c2
2026-05-18 20:16:48,572 | CAMERA_MANAGER | INFO | Sending frame from c4
2026-05-18 20:16:48,606 | CAMERA_MANAGER | INFO | Sending frame from c1
2026-05-18 20:16:48,622 | CAMERA_MANAGER | INFO | Sending frame from c3
2026-05-18 20:16:48,650 | CAMERA_MANAGER | INFO | Sending frame from c2
2026-05-18 20:16:48,716 | CAMERA_MANAGER | INFO | Sending frame from c4
2026-05-18 20:16:48,732 | CAMERA_MANAGER | INFO | Sending frame from c1
2026-05-18 20:16:48,749 | CAMERA_MANAGER | INFO | Sending frame from c3
2026-05-18 20:16:48,797 | CAMERA_MANAGER | INFO | Sending frame from c2
2026-05-18 20:16:48,870 | CAMERA_MANAGER | INFO | Sending frame from c4
2026-05-18 20:16:48,870 | CAMERA_MANAGER | INFO | Sending frame from c1
2026-05-18 20:16:48,881 | CAMERA_MANAGER | INFO | Sending frame from c3
2026-05-18 20:16:48,929 | CAMERA_MANAGER | INFO | Sending frame from c2
2026-05-18 20:16:49,006 | CAMERA_MANAGER | INFO | Sending frame from c1
2026-05-18 20:16:49,008 | CAMERA_MANAGER | INFO | Sending frame from c4
2026-05-18 20:16:49,021 | CAMERA_MANAGER | INFO | Sending frame from c3
2026-05-18 20:16:49,064 | CAMERA_MANAGER | INFO | Sending frame from c2
2026-05-18 20:16:49,137 | CAMERA_MANAGER | INFO | Sending frame from c1
2026-05-18 20:16:49,152 | CAMERA_MANAGER | INFO | Sending frame from c4
2026-05-18 20:16:49,159 | CAMERA_MANAGER | INFO | Sending frame from c3
2026-05-18 20:16:49,210 | CAMERA_MANAGER | INFO | Sending frame from c2
2026-05-18 20:16:49,254 | CAMERA_MANAGER | INFO | Sending frame from c1
2026-05-18 20:16:49,290 | CAMERA_MANAGER | INFO | Sending frame from c4
2026-05-18 20:16:49,292 | CAMERA_MANAGER | INFO | Sending frame from c3
2026-05-18 20:16:49,338 | CAMERA_MANAGER | INFO | Sending frame from c2
2026-05-18 20:16:49,402 | CAMERA_MANAGER | INFO | Sending frame from c1
2026-05-18 20:16:49,423 | CAMERA_MANAGER | INFO | Sending frame from c4
2026-05-18 20:16:49,423 | CAMERA_MANAGER | INFO | Sending frame from c3
2026-05-18 20:16:49,477 | CAMERA_MANAGER | INFO | Sending frame from c2
2026-05-18 20:16:49,542 | CAMERA_MANAGER | INFO | Sending frame from c1
2026-05-18 20:16:49,565 | CAMERA_MANAGER | INFO | Sending frame from c3
2026-05-18 20:16:49,565 | CAMERA_MANAGER | INFO | Sending frame from c4
2026-05-18 20:16:49,601 | CAMERA_MANAGER | INFO | Sending frame from c2
2026-05-18 20:16:49,710 | CAMERA_MANAGER | INFO | Sending frame from c4
2026-05-18 20:16:49,717 | CAMERA_MANAGER | INFO | Sending frame from c3
2026-05-18 20:16:49,717 | CAMERA_MANAGER | INFO | Sending frame from c1
2026-05-18 20:16:49,732 | CAMERA_MANAGER | INFO | Sending frame from c2
2026-05-18 20:16:49,809 | CAMERA_MANAGER | INFO | Sending frame from c1
2026-05-18 20:16:49,839 | CAMERA_MANAGER | INFO | Sending frame from c4
2026-05-18 20:16:49,863 | CAMERA_MANAGER | INFO | Sending frame from c3
2026-05-18 20:16:49,863 | CAMERA_MANAGER | INFO | Sending frame from c2
2026-05-18 20:16:49,932 | CAMERA_MANAGER | INFO | Sending frame from c1
2026-05-18 20:16:49,983 | CAMERA_MANAGER | INFO | Sending frame from c3
2026-05-18 20:16:49,983 | CAMERA_MANAGER | INFO | Sending frame from c4
2026-05-18 20:16:50,080 | CAMERA_MANAGER | INFO | Sending frame from c1
2026-05-18 20:16:50,133 | CAMERA_MANAGER | INFO | Sending frame from c2
2026-05-18 20:16:50,135 | CAMERA_MANAGER | INFO | Sending frame from c4
2026-05-18 20:16:50,135 | CAMERA_MANAGER | INFO | Sending frame from c3
2026-05-18 20:16:50,228 | CAMERA_MANAGER | INFO | Sending frame from c1
2026-05-18 20:16:50,261 | CAMERA_MANAGER | INFO | Sending frame from c2
2026-05-18 20:16:50,273 | CAMERA_MANAGER | INFO | Sending frame from c4
2026-05-18 20:16:50,275 | CAMERA_MANAGER | INFO | Sending frame from c3
2026-05-18 20:16:50,370 | CAMERA_MANAGER | INFO | Sending frame from c1
2026-05-18 20:16:50,389 | CAMERA_MANAGER | INFO | Sending frame from c2
2026-05-18 20:16:50,391 | CAMERA_MANAGER | INFO | Sending frame from c4
2026-05-18 20:16:50,406 | CAMERA_MANAGER | INFO | Sending frame from c3
2026-05-18 20:16:50,503 | CAMERA_MANAGER | INFO | Sending frame from c1
2026-05-18 20:16:50,518 | CAMERA_MANAGER | INFO | Sending frame from c2
2026-05-18 20:16:50,520 | CAMERA_MANAGER | INFO | Sending frame from c4
2026-05-18 20:16:50,533 | CAMERA_MANAGER | INFO | Sending frame from c3
2026-05-18 20:16:50,654 | CAMERA_MANAGER | INFO | Sending frame from c2
2026-05-18 20:16:50,654 | CAMERA_MANAGER | INFO | Sending frame from c1
2026-05-18 20:16:50,662 | CAMERA_MANAGER | INFO | Sending frame from c4
2026-05-18 20:16:50,680 | CAMERA_MANAGER | INFO | Sending frame from c3
2026-05-18 20:16:50,752 | CAMERA_MANAGER | INFO | Sending frame from c1
2026-05-18 20:16:50,788 | CAMERA_MANAGER | INFO | Sending frame from c4
2026-05-18 20:16:50,788 | CAMERA_MANAGER | INFO | Sending frame from c2
2026-05-18 20:16:50,804 | CAMERA_MANAGER | INFO | Sending frame from c3
2026-05-18 20:16:50,895 | CAMERA_MANAGER | INFO | Sending frame from c1
2026-05-18 20:16:50,933 | CAMERA_MANAGER | INFO | Sending frame from c2
2026-05-18 20:16:50,935 | CAMERA_MANAGER | INFO | Sending frame from c4
2026-05-18 20:16:50,935 | CAMERA_MANAGER | INFO | c2 sent 60 frames
