2026-06-01 19:29:49,251 | ROI | INFO | Saved To Redis : fire_smoke_frames
2026-06-01 19:29:49,311 | ROI | INFO | Saved To Redis : fire_smoke_frames
2026-06-01 19:29:49,389 | ROI | INFO | Saved To Redis : fire_smoke_frames
2026-06-01 19:29:49,455 | ROI | INFO | Saved To Redis : fire_smoke_frames
2026-06-01 19:29:49,472 | ROI | INFO | Saved To Redis : fire_smoke_frames
2026-06-01 19:29:49,486 | ROI | INFO | Saved To Redis : fire_smoke_frames
2026-06-01 19:29:49,518 | ROI | INFO | Saved To Redis : fire_smoke_frames
2026-06-01 19:29:49,518 | ROI | INFO | Saved To Redis : fire_smoke_frames
2026-06-01 19:29:49,538 | ROI | INFO | Saved To Redis : fire_smoke_frames
2026-06-01 19:29:49,538 | ROI | INFO | Saved To Redis : fire_smoke_frames
2026-06-01 19:29:49,623 | ROI | INFO | Saved To Redis : fire_smoke_frames
2026-06-01 19:29:49,634 | ROI | INFO | Saved To Redis : fire_smoke_frames
2026-06-01 19:29:49,681 | ROI | INFO | Saved To Redis : fire_smoke_frames
2026-06-01 19:29:49,699 | ROI | INFO | Saved To Redis : fire_smoke_frames
2026-06-01 19:29:49,714 | ROI | INFO | Saved To Redis : fire_smoke_frames
2026-06-01 19:29:49,720 | ROI | INFO | Saved To Redis : fire_smoke_frames
2026-06-01 19:29:49,730 | ROI | INFO | Saved To Redis : fire_smoke_frames
2026-06-01 19:29:49,730 | ROI | INFO | Saved To Redis : fire_smoke_frames
2026-06-01 19:29:49,745 | ROI | INFO | Saved To Redis : fire_smoke_frames
2026-06-01 19:29:49,761 | ROI | INFO | Saved To Redis : fire_smoke_frames
2026-06-01 19:29:49,761 | ROI | INFO | Saved To Redis : fire_smoke_frames
2026-06-01 19:29:49,831 | ROI | INFO | Saved To Redis : fire_smoke_frames
2026-06-01 19:29:49,846 | ROI | INFO | Saved To Redis : fire_smoke_frames
2026-06-01 19:29:49,876 | ROI | INFO | Saved To Redis : fire_smoke_frames
2026-06-01 19:29:49,876 | ROI | INFO | Saved To Redis : fire_smoke_frames
2026-06-01 19:29:49,907 | ROI | INFO | Saved To Redis : fire_smoke_frames
2026-06-01 19:29:49,968 | ROI | INFO | Saved To Redis : fire_smoke_frames
2026-06-01 19:29:49,982 | ROI | INFO | Saved To Redis : fire_smoke_frames
2026-06-01 19:29:49,992 | ROI | INFO | Saved To Redis : fire_smoke_frames
2026-06-01 19:29:49,992 | ROI | INFO | Saved To Redis : fire_smoke_frames
2026-06-01 19:29:50,014 | ROI | INFO | Saved To Redis : fire_smoke_frames
2026-06-01 19:29:50,014 | ROI | INFO | Saved To Redis : fire_smoke_frames
2026-06-01 19:29:50,026 | ROI | INFO | Saved To Redis : fire_smoke_frames
2026-06-01 19:29:50,076 | ROI | INFO | Saved To Redis : fire_smoke_frames
2026-06-01 19:29:50,136 | ROI | INFO | Saved To Redis : fire_smoke_frames
2026-06-01 19:29:50,143 | ROI | INFO | Saved To Redis : fire_smoke_frames
2026-06-01 19:29:50,154 | ROI | INFO | Saved To Redis : fire_smoke_frames
2026-06-01 19:29:50,154 | ROI | INFO | Saved To Redis : fire_smoke_frames
2026-06-01 19:29:50,175 | ROI | INFO | Saved To Redis : fire_smoke_frames
2026-06-01 19:29:50,179 | ROI | INFO | Saved To Redis : fire_smoke_frames
2026-06-01 19:29:50,190 | ROI | INFO | Saved To Redis : fire_smoke_frames
2026-06-01 19:29:50,204 | ROI | INFO | Saved To Redis : fire_smoke_frames
2026-06-01 19:29:50,223 | ROI | INFO | Saved To Redis : fire_smoke_frames
2026-06-01 19:29:50,255 | ROI | INFO | Saved To Redis : fire_smoke_frames
2026-06-01 19:29:50,265 | ROI | INFO | Saved To Redis : fire_smoke_frames
2026-06-01 19:29:50,280 | ROI | INFO | Saved To Redis : fire_smoke_frames
2026-06-01 19:29:50,280 | ROI | INFO | Saved To Redis : fire_smoke_frames
2026-06-01 19:29:50,298 | ROI | INFO | Saved To Redis : fire_smoke_frames
2026-06-01 19:29:50,321 | ROI | INFO | Saved To Redis : fire_smoke_frames
2026-06-01 19:29:50,324 | ROI | INFO | Saved To Redis : fire_smoke_frames
2026-06-01 19:29:50,334 | ROI | INFO | Saved To Redis : fire_smoke_frames
2026-06-01 19:29:50,334 | ROI | INFO | Saved To Redis : fire_smoke_frames
2026-06-01 19:29:50,350 | ROI | INFO | Saved To Redis : fire_smoke_frames
2026-06-01 19:29:50,364 | ROI | INFO | Saved To Redis : fire_smoke_frames
2026-06-01 19:29:50,402 | ROI | INFO | Saved To Redis : fire_smoke_frames
2026-06-01 19:29:50,413 | ROI | INFO | Saved To Redis : fire_smoke_frames
2026-06-01 19:29:50,443 | ROI | INFO | Saved To Redis : fire_smoke_frames
2026-06-01 19:29:50,493 | ROI | INFO | Saved To Redis : fire_smoke_frames
2026-06-01 19:29:50,510 | ROI | INFO | Saved To Redis : fire_smoke_frames
2026-06-01 19:29:50,518 | ROI | INFO | Saved To Redis : fire_smoke_frames
2026-06-01 19:29:50,547 | ROI | INFO | Saved To Redis : fire_smoke_frames
2026-06-01 19:29:50,599 | ROI | INFO | Saved To Redis : fire_smoke_frames
2026-06-01 19:29:50,616 | ROI | INFO | Saved To Redis : fire_smoke_frames
2026-06-01 19:29:50,648 | ROI | INFO | Saved To Redis : fire_smoke_frames
2026-06-01 19:29:50,691 | ROI | INFO | Saved To Redis : fire_smoke_frames
2026-06-01 19:29:50,739 | ROI | INFO | Saved To Redis : fire_smoke_frames
2026-06-01 19:29:50,752 | ROI | INFO | Saved To Redis : fire_smoke_frames
2026-06-01 19:29:50,756 | ROI | INFO | Saved To Redis : fire_smoke_frames
2026-06-01 19:29:50,761 | ROI | INFO | Saved To Redis : fire_smoke_frames
2026-06-01 19:29:50,784 | ROI | INFO | Saved To Redis : fire_smoke_frames
2026-06-01 19:29:50,843 | ROI | INFO | Saved To Redis : fire_smoke_frames
2026-06-01 19:29:50,846 | ROI | INFO | Saved To Redis : fire_smoke_frames
2026-06-01 19:29:50,865 | ROI | INFO | Saved To Redis : fire_smoke_frames
2026-06-01 19:29:50,870 | ROI | INFO | Saved To Redis : fire_smoke_frames
2026-06-01 19:29:50,874 | ROI | INFO | Saved To Redis : fire_smoke_frames
2026-06-01 19:29:50,878 | ROI | INFO | Saved To Redis : fire_smoke_frames
2026-06-01 19:29:50,891 | ROI | INFO | Saved To Redis : fire_smoke_frames
2026-06-01 19:29:50,891 | ROI | INFO | Saved To Redis : fire_smoke_frames
2026-06-01 19:29:50,954 | ROI | INFO | Saved To Redis : fire_smoke_frames
2026-06-01 19:29:50,954 | ROI | INFO | Saved To Redis : fire_smoke_frames
2026-06-01 19:29:50,969 | ROI | INFO | Saved To Redis : fire_smoke_frames
2026-06-01 19:29:50,969 | ROI | INFO | Saved To Redis : fire_smoke_frames
2026-06-01 19:29:50,992 | ROI | INFO | Saved To Redis : fire_smoke_frames
2026-06-01 19:29:51,042 | ROI | INFO | Saved To Redis : fire_smoke_frames
2026-06-01 19:29:51,082 | ROI | INFO | Saved To Redis : fire_smoke_frames
2026-06-01 19:29:51,130 | ROI | INFO | Saved To Redis : fire_smoke_frames
2026-06-01 19:29:51,144 | ROI | INFO | Saved To Redis : fire_smoke_frames
2026-06-01 19:29:51,149 | ROI | INFO | Saved To Redis : fire_smoke_frames
2026-06-01 19:29:51,202 | ROI | INFO | Saved To Redis : fire_smoke_frames
